the quick brown fox;the fast brown dogs

KCSIEGRQSPENGCQE;DMOIJYTIQQDHIOUBAI

thisisatest;testing123testing

hello world mordor;lord of the rings

YCRAWSZDGSRBRIWRZZCV;NDOOUBMLGBHOE

BUKPJDUFFQMF;QEHIPRFWTIFPGKELUU

HXRRIQQKBDS;DOROZSOLUQMAGKIHRHL

AWVBUPUEQV;NSVBSQRLIAKIY

BIPALOJKLINKS;WCIDELNBTG

PPHLUSTWKZNYYBU;JQRJKCOWCRXQKJCXLCDOD

SVDZMAORFTRCCNLOS;RTJNUTBSWUZIQFCIVVIAC

XLBYEBVKEUUZZN;XIBFVIIKEI

ALBFHEQCRPFUN;OOMCOGXSJPHL

EXEDANOFLYLDG;GHRYEASAAIIFQ

AGHEAPCSVFJU;OEVCHWQQNJMNVZNXNFZCYI

NZGJAWIYXMKUWQJRKJ;AZRABLWTXYONEISEYUB

JQZZVIKLXNPU;WDSNWOQCPZRRK

JTJLMZDYEWOVOPPIZHF;GWHOVONXCVPYC

GEFBSAACOR;YJBXLBGQWEYLFXWUXFNDJ

QQKKBEYUHJYMD;NOCXPNYADXDVFHEDCXO
